"Attribute Properties","מאפייני תכונה",module,Magento_Eav
"Default label","תוית ברירת מחדל",module,Magento_Eav
"Attribute Code","קוד תכונה",module,Magento_Eav
"Catalog Input Type for Store Owner","סוג הקלט של הקטלוג עבור בעל חנות",module,Magento_Eav
"Values Required","הערכים הנדרשים",module,Magento_Eav
"Default Value","ערך ברירת מחדל",module,Magento_Eav
"Unique Value","ערך ייחודי",module,Magento_Eav
"Unique Value (not shared with other products)","ערך ייחודי (לא ישותף עם מוצרים אחרים)",module,Magento_Eav
"Not shared with other products","אינו משותף עם מוצרים אחרים",module,Magento_Eav
"Input Validation for Store Owner","אימות קלט עבור בעל חנות",module,Magento_Eav
Required,נדרש,module,Magento_Eav
Yes,כן,module,Magento_Eav
No,לא,module,Magento_Eav
System,מערכת,module,Magento_Eav
None,ללא,module,Magento_Eav
"Decimal Number","מספר עשרוני",module,Magento_Eav
"Integer Number","מספר שלם",module,Magento_Eav
Email,"דואר אלקטרוני",module,Magento_Eav
Letters,אותיות,module,Magento_Eav
"Letters (a-z, A-Z) or Numbers (0-9)","אותיות (a-z, A-Z) או מספרים (0-9)",module,Magento_Eav
"Text Field","שדה טקסט",module,Magento_Eav
"Text Area","בלוק טקסט",module,Magento_Eav
Date,תאריך,module,Magento_Eav
Yes/No,כן/לא,module,Magento_Eav
"Multiple Select","בחירה מרובה",module,Magento_Eav
Dropdown,"רשימה נפתחת",module,Magento_Eav
"Input type ""%value%"" not found in the input types list.","סוג הקלט ""%value%"" לא נמצא ברשימה סוגי קלט.",module,Magento_Eav
"Attribute object is undefined","אובייקט התכונה אינו מוגדר",module,Magento_Eav
"Entity object is undefined","יישות האובייקט אינה מוגדרת",module,Magento_Eav
"""%1"" invalid type entered.","""%1"" סוג לא חוקי שהוזן.",module,Magento_Eav
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" מכיל תווים שאינם אלף-ביתיים או שאינם מספריים.",module,Magento_Eav
"""%1"" is an empty string.","""%1"" הוא מחרוזת ריקה.",module,Magento_Eav
"""%1"" contains non-numeric characters.","""%1"" מכיל תווים שאינם מספריים.",module,Magento_Eav
"""%1"" contains non-alphabetic characters.","""%1"" מכיל תווים שאינם אלף-ביתיים.",module,Magento_Eav
"""%1"" is not a valid email address.","""%1"" היא לא כתובת דואר אלקטרוני חוקית.",module,Magento_Eav
"""%1"" is not a valid hostname.","""%1"" אינה שם מחשב מארח חוקי.",module,Magento_Eav
"""%1"" is not a valid URL.","""%1"" אינה כתובת URL חוקית.",module,Magento_Eav
"""%1"" is not a valid date.","""%1"" אינה תאריך חוקי.",module,Magento_Eav
"""%1"" does not fit the entered date format.","""%1"" אינו תואם את תבנית התאריך המוזן.",module,Magento_Eav
"""%1"" is a required value.","""%1"" הוא ערך הנדרש.",module,Magento_Eav
"Please enter a valid date between %1 and %2 at %3.","הזינו בבקשה את תאריך חוקי בין %1 ל- %2-%3.",module,Magento_Eav
"Please enter a valid date equal to or greater than %1 at %2.","הזינו בבקשה את תאריך חוקי שווה או גדול מ- %1-%2.",module,Magento_Eav
"Please enter a valid date less than or equal to %1 at %2.","נא להקליד תאריך פחות או שווה ל %1-%2.",module,Magento_Eav
"""%1"" is not a valid file extension.","""%1"" הוא לא סיומת קובץ חוקי.",module,Magento_Eav
"""%1"" is not a valid file.","""%1"" אינו קובץ חוקי.",module,Magento_Eav
"""%1"" exceeds the allowed file size.","""%1"" חורג מגודל הקובץ המותר.",module,Magento_Eav
"""%1"" is not a valid image format","""%1"" הוא לא פורמט תמונה בתוקף",module,Magento_Eav
"""%1"" width exceeds allowed value of %2 px.","רוחב ""%1"" עולה על הערך המותר של %2 פיקסל.",module,Magento_Eav
"""%1"" height exceeds allowed value of %2 px.","""%1"" הגובה חורג מהערכים המותרים של %2 פיקסל.",module,Magento_Eav
"""%1"" length must be equal or greater than %2 characters.","""%1"" אורך חייב להיות שווה או גדול מ- %2 תווים.",module,Magento_Eav
"""%1"" length must be equal or less than %2 characters.","""%1"" אורך חייב להיות שווה או פחות %2 תווים.",module,Magento_Eav
"Invalid entity_type specified: %1","Entity_type לא חוקי צוין: %1",module,Magento_Eav
"Entity is not initialized","ישות לא אותחלה",module,Magento_Eav
"Unknown parameter","פרמטר לא ידוע",module,Magento_Eav
